age,gender,height_cm,weight_kg,bmi,fitness_level,goal,exercise,duration_min,intensity,sets,reps,heart_rate_avg,training_volume,effort_score,metabolic_proxy,hr_reserve_ratio,calories_burned,meal_plan
57,Male,167.7,96.8,34.42,Beginner,Fat Loss,Squats,21,Medium,4,16,131,64,84,1.669,0.804,218.1,fl_beginner
50,Male,177.4,47.7,15.16,Beginner,Muscle Gain,Push-ups,39,Medium,5,11,135,55,195,0.935,0.794,201.9,mg_beginner
34,Female,154.3,85.1,35.74,Advanced,Fat Loss,Pull-ups,59,High,3,13,160,39,177,2.431,0.86,1069.0,fl_advanced
42,Female,160.5,85.4,33.15,Beginner,Muscle Gain,Push-ups,36,Medium,5,7,140,35,180,1.986,0.787,359.2,mg_beginner
28,Male,177.6,125.9,39.92,Advanced,Muscle Gain,Muscle-ups,69,High,3,6,165,18,207,4.341,0.859,2504.2,mg_advanced
44,Female,163.5,89.8,33.59,Advanced,Maintenance,Handstand,34,Medium,3,15,134,45,102,1.996,0.761,408.8,mt_standard
34,Female,155.8,93.9,38.68,Beginner,Fat Loss,Push-ups,36,Medium,5,18,146,90,180,2.683,0.785,342.4,fl_beginner
23,Female,163.0,90.1,33.91,Advanced,Muscle Gain,Muscle-ups,55,High,4,11,169,44,220,3.754,0.858,1224.2,mg_advanced
40,Male,172.9,57.6,19.27,Advanced,Maintenance,Handstand,48,Low,2,8,119,16,96,1.405,0.661,205.8,mt_standard
27,Male,168.9,120.7,42.31,Advanced,Maintenance,Handstand,46,Medium,2,15,145,30,92,4.311,0.751,634.5,mt_standard
31,Male,157.7,122.4,49.22,Intermediate,Muscle Gain,Pull-ups,54,Low,4,10,127,40,216,3.825,0.672,624.8,mg_intermediate
48,Female,155.4,64.8,26.83,Intermediate,Fat Loss,Push-ups,36,Medium,5,15,134,75,180,1.322,0.779,314.5,fl_intermediate
40,Male,184.1,109.0,32.16,Intermediate,Fat Loss,Pull-ups,46,Medium,3,15,139,45,138,2.659,0.772,650.1,fl_intermediate
46,Female,153.7,48.6,20.57,Advanced,Muscle Gain,Handstand,52,High,5,6,150,30,260,1.034,0.862,445.6,mg_advanced
28,Female,163.3,50.8,19.05,Intermediate,Muscle Gain,Pull-ups,58,Medium,3,9,147,27,174,1.752,0.766,429.6,mg_intermediate
32,Female,153.1,92.5,39.46,Advanced,Muscle Gain,Muscle-ups,77,Medium,3,11,142,33,231,2.803,0.755,1568.0,mg_advanced
32,Male,186.4,98.5,28.35,Advanced,Fat Loss,Plank,63,Medium,3,16,142,48,189,2.985,0.755,465.3,fl_advanced
53,Female,156.3,44.4,18.17,Beginner,Maintenance,Plank,27,Low,3,10,119,30,81,0.822,0.713,47.8,mt_standard
29,Male,182.0,113.3,34.2,Beginner,Muscle Gain,Squats,31,Low,3,10,131,30,93,3.777,0.686,279.9,mg_beginner
32,Female,154.3,44.7,18.77,Intermediate,Fat Loss,Push-ups,51,Low,3,17,126,51,153,1.355,0.67,202.1,fl_intermediate
44,Male,184.4,86.5,25.44,Beginner,Fat Loss,Push-ups,36,Medium,4,14,139,56,144,1.922,0.79,279.9,fl_beginner
29,Female,156.9,112.7,45.78,Beginner,Fat Loss,Squats,20,Low,3,16,131,48,60,3.757,0.686,197.9,fl_beginner
22,Male,174.0,131.0,43.27,Intermediate,Fat Loss,Pull-ups,34,Medium,5,17,151,85,170,5.696,0.763,602.8,fl_intermediate
40,Male,189.6,98.9,27.51,Advanced,Muscle Gain,Handstand,77,High,4,8,155,32,308,2.412,0.861,1278.4,mg_advanced
20,Female,154.3,89.7,37.68,Beginner,Fat Loss,Squats,27,Low,5,12,136,60,135,4.271,0.68,189.0,fl_beginner
26,Male,178.3,74.6,23.47,Advanced,Muscle Gain,Muscle-ups,53,High,4,10,166,40,212,2.763,0.856,1279.0,mg_advanced
20,Female,157.5,102.0,41.12,Advanced,Maintenance,Muscle-ups,46,Medium,2,13,150,26,92,4.857,0.75,1053.9,mt_standard
22,Male,178.0,86.9,27.43,Intermediate,Maintenance,Pull-ups,28,Medium,2,11,151,22,56,3.778,0.763,373.9,mt_standard
39,Female,156.5,82.2,33.56,Intermediate,Fat Loss,Push-ups,35,Low,3,16,123,48,105,2.055,0.68,287.6,fl_intermediate
53,Female,171.1,56.5,19.3,Beginner,Muscle Gain,Push-ups,37,Medium,4,8,133,32,148,1.046,0.796,227.5,mg_beginner
28,Male,181.7,114.7,34.74,Beginner,Fat Loss,Squats,31,Medium,3,17,150,51,93,3.955,0.781,376.8,fl_beginner
16,Male,179.1,91.0,28.37,Intermediate,Muscle Gain,Dips,50,Medium,4,8,155,32,200,5.353,0.76,631.2,mg_intermediate
17,Female,177.0,59.6,19.02,Beginner,Fat Loss,Squats,23,Medium,3,20,157,60,69,3.311,0.773,129.0,fl_beginner
32,Female,167.1,108.7,38.93,Advanced,Muscle Gain,Muscle-ups,45,High,3,11,162,33,135,3.294,0.862,1331.4,mg_advanced
38,Male,174.9,117.0,38.25,Beginner,Muscle Gain,Squats,30,Low,5,10,127,50,150,3.0,0.698,268.9,mg_beginner
42,Female,160.0,42.6,16.64,Advanced,Fat Loss,L-sit,46,High,4,19,154,76,184,0.991,0.865,326.4,fl_advanced
30,Female,176.1,114.7,36.99,Beginner,Maintenance,Push-ups,21,Low,2,13,131,26,42,3.7,0.689,189.5,mt_standard
